Unique ID,出荷日,商品名,数量,元データ合計金額,売上高,原価単価,原価計算根拠,売上原価,物流業者(推測後),業者推測根拠,箱数,箱数計算ルール,箱単価,物流費
,2025/07/02,Semaglutide 司美格鲁肽 2mg/1.5ml 1支,1.0,"35,000",35000.0,11151.0,マスター参照,11151.0,EMS,元データ,1.0,通常ルール (数量),1308,1308.0
,2025/07/12,Juvela N Soft Capsules 微小循环系赋活剂 生育酚菸酸酯200mg 100锭,2.0,"1,954",1954.0,740.0,マスター参照,1480.0,要町,備考から推測,2.0,通常ルール (数量),1304,2608.0
,2025/07/12,兴和制药　Cabagin KOWA α肠胃片 200錠,3.0,"6,894",6894.0,0.0,マスター参照,0.0,要町,備考から推測,3.0,通常ルール (数量),1304,3912.0
,2025/07/12,救心丸  60粒,5.0,"19,350",19350.0,1000,固定単価(1000円),5000.0,要町,備考から推測,5.0,通常ルール (数量),1304,6520.0
,2025/07/12,氢化可的松 2g×50支,2.0,"6,212",6212.0,2040.0,マスター参照,4080.0,要町,備考から推測,2.0,通常ルール (数量),1304,2608.0
,2025/07/08,Mohrus 久光膏药贴　7枚x1袋,20.0,"17,800",17800.0,200.2,マスター参照,4004.0,EMS,元データ,20.0,通常ルール (数量),1308,26160.0
,2025/07/08,救心丸  30粒,2.0,"6,000",6000.0,1000,固定単価(1000円),2000.0,EMS,元データ,2.0,通常ルール (数量),1308,2616.0
,2025/07/08,Rebamipide瑞巴派特片100mg 100粒,1.0,"2,985",2985.0,1040.0,マスター参照,1040.0,EMS,元データ,1.0,通常ルール (数量),1308,1308.0
,2025/07/01,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"12,000",12000.0,3848.0,マスター参照,3848.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/07/01,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"11,000",11000.0,3848.0,マスター参照,3848.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/07/01,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"34,000",34000.0,7696.0,マスター参照,15392.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/07/01,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"13,200",13200.0,3848.0,マスター参照,3848.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/07/01,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"17,000",17000.0,7696.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/07/01,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"36,200",36200.0,7696.0,マスター参照,15392.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/07/01,Mounjaro 替尔泊肽 替西帕肽 7.5mg 2支x1盒,2.0,"44,000",44000.0,11544.0,マスター参照,23088.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/07/01,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"13,200",13200.0,3848.0,マスター参照,3848.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/07/01,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"17,000",17000.0,7696.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/07/01,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"17,000",17000.0,7696.0,マスター参照,7696.0,ヤマト,物流方法から推測,1,マンジャロルール (数量/2),0,0
,2025/07/01,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"54,848",54848.0,7696.0,マスター参照,15392.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/07/01,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"30,000",30000.0,3848.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/07/01,Mounjaro 替尔泊肽 替西帕肽 5mg 1支,4.0,"46,000",46000.0,3848.0,マスター参照,15392.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/07/01,Mounjaro 替尔泊肽 替西帕肽 2.5mg 1支,4.0,"44,000",44000.0,1924.0,マスター参照,7696.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/07/01,Dayvigo莱博雷生5mg 100錠,1.0,"21,800",21800.0,8270.0,マスター参照,8270.0,要町,備考から推測,1.0,通常ルール (数量),1304,1304.0
,2025/07/01,Rybelsus 司美格鲁肽 索马鲁肽片剂 7mg 100錠,1.0,"54,000",54000.0,32570.0,マスター参照,32570.0,要町,備考から推測,1.0,通常ルール (数量),1304,1304.0
,2025/07/01,Dayvigo莱博雷生5mg 100錠,1.0,"21,200",21200.0,8270.0,マスター参照,8270.0,EMS,元データ,1.0,通常ルール (数量),1308,1308.0
,2025/07/01,Mounjaro 替尔泊肽 替西帕肽 10mg 1支,4.0,"104,000",104000.0,7696.0,マスター参照,30784.0,ヤマト,物流方法から推測,2,マンジャロルール (数量/2),0,0
,2025/07/01,Mounjaro 替尔泊肽 替西帕肽 7.5mg 1支,2.0,0,0.0,5772.0,マスター参照,11544.0,ヤマト,物流方法から推測,1,マンジャロルール (数量/2),0,0
,2025/07/01,Mounjaro 替尔泊肽 替西帕肽 7.5mg 1支,2.0,"80,000",80000.0,5772.0,マスター参照,11544.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/07/01,Mounjaro 替尔泊肽 替西帕肽 5mg 1支,1.0,0,0.0,3848.0,マスター参照,3848.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/07/01,Dayvigo莱博雷生10mg 100錠,1.0,"24,300",24300.0,12360.0,マスター参照,12360.0,EMS,元データ,1.0,通常ルール (数量),1308,1308.0
,2025/07/01,Dayvigo莱博雷生2.5mg 100錠,1.0,"13,300",13300.0,5210.0,マスター参照,5210.0,EMS,元データ,1.0,通常ルール (数量),1308,1308.0
,2025/07/01,帝人痛风20mg 100錠,4.0,"20,000",20000.0,2980.0,マスター参照,11920.0,神戸物流,元データ,4.0,通常ルール (数量),248,992.0
,2025/07/01,Dayvigo莱博雷生5mg 100錠,1.0,"19,300",19300.0,8270.0,マスター参照,8270.0,EMS,元データ,1.0,通常ルール (数量),1308,1308.0
,2025/07/02,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"30,000",30000.0,3848.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/07/02,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"26,000",26000.0,7696.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/07/02,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"11,000",11000.0,3848.0,マスター参照,3848.0,ヤマト,物流方法から推測,1,マンジャロルール (数量/2),0,0
