Revised Logistics Calculation Log
=================================
Line 2: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 3: Processed. Provider: '要町', Cost: 1304, Reason: Inferred from Remarks
Line 4: Processed. Provider: '要町', Cost: 1304, Reason: Inferred from Remarks
Line 5: Processed. Provider: '要町', Cost: 1304, Reason: Inferred from Remarks
Line 6: Processed. Provider: '要町', Cost: 1304, Reason: Inferred from Remarks
Line 7: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 8: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 9: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 10: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 11: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 12: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 13: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 14: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 15: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 16: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 17: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 18: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 19: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 20: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 21: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 22: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 23: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 24: Processed. Provider: '要町', Cost: 1304, Reason: Inferred from Remarks
Line 25: Processed. Provider: '要町', Cost: 1304, Reason: Inferred from Remarks
Line 26: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 27: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 28: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 29: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 30: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 31: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 32: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 33: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 34: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 35: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 36: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
