2025年7月 物流費レポート (最終版)

総物流費,"4,077,840.00 JPY"

業者別内訳
物流業者,合計箱数,合計費用 (JPY)
EMS,836,"1,093,488.00"
JD,12,"16,260.00"
SF,1,406.00
SF CN,219,"88,914.00"
ヤマト,2049,0.00
大阪神洲物流,2054,"1,244,724.00"
神户物流,40,"9,920.00"
神戸物流,4982,"1,235,536.00"
要町,16,"20,864.00"
要町SF,282,"367,728.00"

単価不明・推測不能の業者（費用計算対象外）
行番号,業者名
42,Unknown
73,Unknown
74,Unknown
95,Unknown
125,Unknown
126,Unknown
155,Unknown
156,Unknown
235,Unknown
236,Unknown
264,Unknown
272,Unknown
273,Unknown
274,Unknown
307,Unknown
313,Unknown
347,Unknown
371,Unknown
421,Unknown
429,Unknown
430,Unknown
440,Unknown
483,Unknown
506,Unknown
562,Unknown
592,Unknown
619,Unknown
620,Unknown
709,Unknown
880,Unknown
911,Unknown
912,Unknown
