2025年7月 物流費レポート (改訂版)

総物流費,"712,996.00 JPY"

業者別内訳
物流業者,箱数,合計費用 (JPY)
EMS,386,"504,888.00"
JD,4,"5,420.00"
SF,1,406.00
SF CN,202,"82,012.00"
ヤマト,35,0.00
大阪神洲物流,25,"15,150.00"
神户物流,11,"2,728.00"
神戸物流,171,"42,408.00"
要町,7,"9,128.00"
要町SF,39,"50,856.00"

単価不明・推測不能の業者（費用計算対象外）
行番号,業者名
42,Unknown
73,Unknown
74,Unknown
95,Unknown
125,Unknown
126,Unknown
155,Unknown
156,Unknown
235,Unknown
236,Unknown
264,Unknown
272,Unknown
273,Unknown
274,Unknown
307,Unknown
313,Unknown
347,Unknown
371,Unknown
421,Unknown
429,Unknown
430,Unknown
440,Unknown
483,Unknown
506,Unknown
562,Unknown
592,Unknown
619,Unknown
620,Unknown
709,Unknown
880,Unknown
911,Unknown
912,Unknown
