取引先コード,取引先名,取引先名かな,取引先略称名,インボイス発行事業者区分,インボイス登録番号,郵便番号,住所1,住所2,住所3,国名,取引通貨,国内・国外取引,タグ,フラグ,得意先有無,仕入先有無,請求先コード,請求先は宛名の置換のみ,得意先部署,得意先担当者役職,得意先担当者,得意先敬称,得意先電話番号,得意先FAX番号,得意先メールアドレス,得意先担当者コード,得意先担当社員名,得意先取引形態区分,得意先締日１,得意先締日２,得意先締日３,入金予定日１,入金予定日２,入金予定日３,得意先単価ランク,得意先掛率,得意先別単価の使用,得意先金額丸め区分,得意先内税外税区分,得意先消費税計上区分,得意先消費税丸め区分,与信限度額,前回請求額,前回売掛残,前回請求額（円転）,前回売掛残（円転）,売上伝票採番区分,請求書発行区分,請求書入金明細印字区分,見積書発行元ｺｰﾄﾞ,注文請書発行元ｺｰﾄﾞ,納品書発行元ｺｰﾄﾞ,請求書発行元ｺｰﾄﾞ,インボイス発行元ｺｰﾄﾞ,統一伝票用社名,統一伝票用店名,統一伝票用社店コード,統一伝票用分類コード,統一伝票用伝票区分,統一伝票用取引先ｺｰﾄﾞ,統一伝票用L欄,得意先メモ,支払先コード,支払先は宛名の置換のみ,仕入先部署,仕入先担当者役職,仕入先担当者,仕入先敬称,仕入先電話番号,仕入先FAX番号,仕入先メールアドレス,仕入先担当者コード,仕入先担当社員名,仕入先取引形態区分,仕入先締日１,仕入先締日２,仕入先締日３,支払予定日１,支払予定日２,支払予定日３,仕入先単価ランク,仕入先掛率,仕入先別単価の使用,仕入先金額丸め区分,仕入先内税外税区分,仕入先消費税計上区分,仕入先消費税丸め区分,前回支払予定額,前回買掛残,前回支払予定額（円転）,前回買掛残（円転）,仕入伝票採番区分,支払書発行区分,支払書支払明細印字区分,注文書発行元ｺｰﾄﾞ,支払書発行元ｺｰﾄﾞ,PO発行元ｺｰﾄﾞ,仕入先メモ,登録日時,最終更新日時,部門
00000,代理購買,だいりこうばい,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00000,Y,,,,御中,,,,00002,,現金仕入,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2017/09/25 20:29:35,2024/10/03 17:47:51,輸出事業
00001,くすりの福太郎　銀座一丁目店,くすりのふくたろう　ぎんざいちちょうめてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00001,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 12:14:01,2020/07/19 13:35:06,輸出事業
00002,くすりの福太郎　銀座五丁目店,くすりのふくたろう　ぎんざごちょうめてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00002,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 12:14:51,2020/07/19 13:35:06,輸出事業
00003,くすりの福太郎　西新井店,くすりのふくたろう　にしあらいてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00003,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 12:17:12,2020/07/19 13:35:06,輸出事業
00004,ツルハドラッグ　草加五丁目店,つるはどらっぐ　そうかごちょうめてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00004,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 12:18:40,2020/07/19 13:35:06,輸出事業
00005,ツルハドラッグ　西一之江店,つるはどらっぐ　にしいちのえてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 12:19:42,2020/07/19 13:35:06,輸出事業
00006,ツルハドラッグ　東蒲田店,つるはどらっぐ　ひがしかまたてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00006,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 12:20:21,2020/07/19 13:35:06,輸出事業
00007,ココカラファイン　八重洲北口店,ここからふぁいん　やえすきたぐちてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00007,Y,,,,御中,,,,00004,,現金仕入,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 12:21:41,2020/07/19 13:35:06,輸出事業
00008,ココカラファイン　八重洲南口店,ここからふぁいん　やえすみなみぐちてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00008,Y,,,,御中,,,,00004,,現金仕入,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 12:23:21,2020/07/19 13:35:06,輸出事業
00009,ココカラファイン　新小岩店,ここからふぁいん　しんこいわてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00009,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2014/10/25 12:24:26,2020/07/19 13:35:06,輸出事業
